Category,Item Type,UAE & KSA Referral Rate (eff. From 15th May to 15th October 2018)
"Office Products
& Supplies","Ink Cartridges, Office Supplies, Printer And Scanner Accessories, Stationery, Label Printers",2%
"Perfumes
& Fragrances",Perfumes & Fragrances,4%
"Perfumes
& Fragrances",Fragrance Gift Sets,4%
"Pet Food
& Supplies",Pet Supplies,3%
"Pet Food
& Supplies",Pet Food,3%
Sports & Fitness,Fitness Technology,2%
Sports & Fitness,"Sports Equipments, Sporting Goods, Camping Goods, Outdoor Play, Scooters & Ride-Ons, Treadmills, Balls, Bikes & Bicycles",10%
"Tools & Home
Improvements","Safety And Work Wear, Power Tools, Hand Tools, Nails, Screws & Fixings, Measuring & Layout Tools, Power & Hand Tools Accessories, Electrical Accessories, Drills",3%
Toys,"Toys, Party Supplies",3%
"Vehicle Parts
& Accessories","Car Audio, Car Speakers, Sub-Woofers And Amplifiers, Gps Receiver, Car Vision",2%
"Vehicle Parts
& Accessories","Car Video, Gps Accessories, Car Audio And Video Accessories, Car Care Products, Keys & Key Chains, Car Parts, Vehicle Fluids, Gps Navigators,  Tires & Wheels",3%
"Vehicle Parts
& Accessories",Motorcycle Parts,3%
Watches & Accessories,"Watch Accessories, Watches",4%
